iter	Passed	Remaining
0	152	2141
1	309	2013
2	458	1835
3	612	1684
4	758	1517
5	910	1365
6	1059	1210
7	1219	1066
8	1374	916
9	1537	768
10	1688	614
11	1841	460
12	1994	306
13	2153	153
14	2312	0
